mass,energy,luminosity,log-lum,log-m
25,3.1456431255788626e+45,40665.4921463632,4.609226032634113,1.3979400086720377
15,1.8873858753473173e+45,13496.343328634031,4.130216117583047,1.1760912590556813
12,1.509908700277854e+45,7808.627529096111,3.892574707511164,1.0791812460476249
9,1.1324315252083904e+45,3554.815497318441,3.5508170648194044,0.9542425094393249
7,8.807800751620814e+44,1689.3741822002046,3.22772585280764,0.8450980400142568
5,6.291286251157723e+44,551.7179406662507,2.74171710649838,0.6989700043360189
4,5.0330290009261795e+44,253.08572670699408,2.40326765291335,0.6020599913279624
3,3.774771750694635e+44,88.70525379220169,1.947949342778642,0.47712125471966244
2.5,3.1456431255788617e+44,44.548943890394035,1.6488374127946488,0.3979400086720376
2,2.5165145004630898e+44,18.680136971230514,1.2713800563497224,0.3010299956639812
1.5,1.8873858753473174e+44,5.811214745355222,0.7642669244836139,0.17609125905568124
1.25,1.5728215627894308e+44,2.6534425974768103,0.42380969687638215,0.09691001300805642
1,1.2582572502315449e+44,1.0587517815239762,0.02479415411126042,0.0
0.8,1.0066058001852359e+44,0.33316278316079223,-0.4773435185816893,-0.09691001300805639
